#
# Wolf textures
#
WOLF|BLACK_COLLARED: WOLF|PALE|TAME|BLACK_COLLARED
WOLF|BLUE_COLLARED: WOLF|PALE|TAME|BLUE_COLLARED
WOLF|BROWN_COLLARED: WOLF|PALE|TAME|BROWN_COLLARED
WOLF|CYAN_COLLARED: WOLF|PALE|TAME|CYAN_COLLARED
WOLF|GRAY_COLLARED: WOLF|PALE|TAME|GRAY_COLLARED
WOLF|GREEN_COLLARED: WOLF|PALE|TAME|GREEN_COLLARED
WOLF|LIGHT_BLUE_COLLARED: WOLF|PALE|TAME|LIGHT_BLUE_COLLARED
WOLF|LIGHT_GRAY_COLLARED: WOLF|PALE|TAME|LIGHT_GRAY_COLLARED
WOLF|LIME_COLLARED: WOLF|PALE|TAME|LIME_COLLARED
WOLF|MAGENTA_COLLARED: WOLF|PALE|TAME|MAGENTA_COLLARED
WOLF|ORANGE_COLLARED: WOLF|PALE|TAME|ORANGE_COLLARED
WOLF|PINK_COLLARED: WOLF|PALE|TAME|PINK_COLLARED
WOLF|PURPLE_COLLARED: WOLF|PALE|TAME|PURPLE_COLLARED
WOLF|RED_COLLARED: WOLF|PALE|TAME|RED_COLLARED
WOLF|WHITE_COLLARED: WOLF|PALE|TAME|WHITE_COLLARED
WOLF|YELLOW_COLLARED: WOLF|PALE|TAME|YELLOW_COLLARED

WOLF|PALE|TAME|BLACK_COLLARED: 6cd2c1c0411ea2b763f59bd9a03f9c487c68d45c75dff69ceeaffd978f97226
WOLF|PALE|TAME|BLUE_COLLARED: 31bce3e96e4db838db979bdcc7afa16190773a67bfff916c7463309094e4c0d3
WOLF|PALE|TAME|BROWN_COLLARED: e9081cbc46bb47cdcc39bd451158ad7f936898c9933bfa73c3d058014050f5b7
WOLF|PALE|TAME|CYAN_COLLARED: 567d4884aaf060913e4fa59d340a04f2c9b09cae7594846b4d99b4f662b22d85
WOLF|PALE|TAME|GRAY_COLLARED: 71d1379189dc1019473d855e0fb7aadb64948d2c1e3f9aeaed4c4454f202c8dc
WOLF|PALE|TAME|GREEN_COLLARED: dd137caddc811aee083e2ef997c798eb64bef0a6ffae5fef3e8b43d8fd760a1
WOLF|PALE|TAME|LIGHT_BLUE_COLLARED: e992f82b7da9923b218610e04b3c34ec37b49d2311aa199f7b041a30c9e5c6fa
WOLF|PALE|TAME|LIGHT_GRAY_COLLARED: e0d0a80bf6e951988096f19232714cf075aa36b730b96856ef485ee8efece170
WOLF|PALE|TAME|LIME_COLLARED: 9a96502c7bc1bcd974f6f03ac58ba13cf89b201db7147362c97d717e4117a63
WOLF|PALE|TAME|MAGENTA_COLLARED: 218819fe8aea51985b2f6330995b140a54ba6964e5591462708dd7b06f88b4b3
WOLF|PALE|TAME|ORANGE_COLLARED: 4572069754e66c0d788c4095eeb436122e4d600e091b718f744a938b4017bc8e
WOLF|PALE|TAME|PINK_COLLARED: 3f18d1e499f0fe9886864f747852a0b810795f88d4c5fe89024f5bd8707069b1
WOLF|PALE|TAME|PURPLE_COLLARED: 87d6a79d207b749df234cc350ff1cdb1c7550d276ffdaa1f5507567f6dd03693
WOLF|PALE|TAME|RED_COLLARED: 8fa8aec8f329981d7aad67a43704c37d20ea47263a53eae7a240c93965d09481
WOLF|PALE|TAME|WHITE_COLLARED: 65a29d59451baf05775a38ffb8fb468017f54126e20f0f8bcb3e2d1136918ad1
WOLF|PALE|TAME|YELLOW_COLLARED: 1ff95f613d1b0b875516d7ac2b22f7c5a3bc6e56d22a564559646a683df22322

# TODO: other wolf variants

#
# Cat textures
#
CAT|BLACK|BLACK_COLLARED: 61b528d57201344eb5faa8d5651fba320c6ddbe4dca8527f38f3786a689e95c7
CAT|BLACK|RED_COLLARED: 49fee96a797d6a80c12ce6de5cd7fea704d28e0991c4f4f933f655a4256fa25f
CAT|BLACK|GREEN_COLLARED: 4d3007f57402c2d579bf294d2bb528382297788964872886b7d31beb8a1a9184
CAT|BLACK|BROWN_COLLARED: 3aa0ab83224096aa822a255ad2425c83b7d8cefb33dc28f6afc20f8b635f9767
CAT|BLACK|BLUE_COLLARED: a64f841d5af2afd1d461d34e98cc8b306ae708e871fb4b46f14bb0440dc77d7a
CAT|BLACK|PURPLE_COLLARED: 966a68c309578c8bb625ec3931f97a5ac42b4120ccf1fe40a7391e88b0b9e811
CAT|BLACK|CYAN_COLLARED: a71ecd12ba81da43157f08e6512f0f93e9c57b32a1f5aa9a84c014c5383482fa
