#
# Grumm/Dinnerbone textures
#
ALLAY|GRUMM: 6bf08215c78f9b8317f81c9f1914da186fc2a92fc7c4124f7f1cf3c188469439
ARMADILLO|GRUMM: 29798ae0386717606930ebf110140dd9c34db6418f72fb02182b522057bb5ec0
#ARMOR_STAND|GRUMM: bf9f15a465ef53f792a65ff94b7420a02e182f47e5c452b62a6ac94e4b635a6
AXOLOTL|GRUMM: AXOLOTL|LUCY|GRUMM
AXOLOTL|BLUE|GRUMM: 5b85089229c798e21eaf8606fdae8e7c06a2d65ece86ce093e45f89713663888
AXOLOTL|CYAN|GRUMM: a58f517394ddb5537bb9af9d322b384ba8defc436c6938197ef6e75e755aa286
AXOLOTL|GOLD|GRUMM: 41d8600810a11b6c531b43703c8e895c32ed7745ccac36626200c462d767c51a
AXOLOTL|LUCY|GRUMM: 77c8eba243c7841b6ccda37b2e3179bd2210c9e5427b42a3d5ccf8b1f14c9703
AXOLOTL|WILD|GRUMM: 396a43dc6e89f6170918b27b713028ce9527ed40c7aba7b556abef3d4be7462f
BAT|GRUMM: f00ee575994d828b39d6bc15b1e1b75f2aa21fa26ce2f13468574554a7de0d6b
BAT|PRE_1_21|GRUMM: c19dc094a8334d185c51e3a7d1ab29a0b801093091042a90c9bdf82ddc642dad
BAT|PRE_JAPPA|GRUMM: a8c5856135dddc3e17eed9135f294cfe37aefa416214f7704bcba5506ebb357f
BEE|GRUMM: b571c2370088ba8cbdafcb172536a7607c729d5f68466f0fe777d3ff3816a387
BEE|ANGRY|GRUMM: fffb420df024581c3d5333fb10be0624b3c3de492d58b955ef3dd0425efc44ec
BEE|POLLINATED|GRUMM: d8e508f861848cd79a3aa4325c54706415de2464be033dcec8f531d0a1a7d314
BEE|ANGRY|STUNG|GRUMM: e285998cebc8a73d383617462061520d472c875a92a3048259d8b7c5def9687b
BEE|POLLINATED|ANGRY|GRUMM: fcbee96345ad1f01a36cfcf57608745ae669170672b60ab1623c87f3e215dc49
BEE|POLLINATED|ANGRY|STUNG|GRUMM: 1fb374a6f58986c5d867ad6ab695a46052f67474744108c165227c24f8dc5e63
BEE|POLLINATED|STUNG|GRUMM: b42f64dc3456d377a0cee1e3aa655be16d584b4fcda58dddebc12aa61c56971f
BEE|STUNG|GRUMM: 40b4726198ca0a985f73dcb5d1c824239103ac23d22b3e6b1f683a56e9831f34
BLAZE|GRUMM: 8980b93968a3737f879d6ab5269c428c43a491a3fa97d01a2adb1edaff58dc16
BLAZE|PRE_JAPPA|GRUMM: 9ac75304a99bf3d31d848725e0880bd72e36ec27208dd305181618bd31288bb6
BOGGED|GRUMM: ff121939a34f6819a19d861c77f110fee962ce8b4cc974feef1a762286ec89a8
BOGGED|SHEARED|GRUMM: 4c0807120cd8eee471dacb20017d58dd0892872e4e116dae59bdadd5aa9124dd
BREEZE|GRUMM: f07856fb705732bc717c43f8318e3447d4eb1f18f52e9621c7983c822a7c51a4
# NOTE: Grumm cat textures are at the end
CAMEL|GRUMM: 836e7c84e463e99005429ecc690014fc58cd1cb7d9374c625d5c3de2f62800f9
CAVE_SPIDER|GRUMM: 57e094c4efeed907435b2f42d783d6d6e5cf80093318bd06b0f192ef5ae6fd63
CAVE_SPIDER|PRE_JAPPA|GRUMM: 9d69085f47d7541976d9fb812cd3c0783fa4a7088ae18ac6cedc9ac555930d3
CHICKEN|GRUMM: b9cea7d3dd708f05727781a0d27dd0fa509bd17402e1a9e151e516b966c9c711
CHICKEN|PRE_JAPPA|GRUMM: 37c43e40e532ea1d5fe0d559ed8c7ec9b0ea918cae6f3fecc1bce305340b62fd
CHICKEN|COLD|GRUMM: 1651eaf22d296c1bf59092f2cd95b744c9c110a484fae0842a14c5dd3b407d0d
CHICKEN|TEMPERATE|GRUMM: d99d41d0e6048b120e59ee9f14ee7dd865b1c979b6434c45cb5b9b94d9f5b8ed
CHICKEN|WARM|GRUMM: eface57a0c90ab05aeebb73c99f2be30fd281b68e5e4ea25f310a9a07cba25d1
COD|GRUMM: 885ef6a76eb5937094e7d11a00ffa32d09e2eb4a3d2f8f66d07d34c0db92f743
COPPER_GOLEM|GRUMM: 4e3cf3de320ae400776633f1f59435fcac743144a72e2bdcfa9339f7f238494a
COPPER_GOLEM|EXPOSED|GRUMM: fce67d7fa93c33fd4a380652909b75809d71329ebf4da58725120ab869b6086a
COPPER_GOLEM|OXIDIZED|GRUMM: da6309b0c427ab9d8960e18a548193efc7536c5dc890252e91fafa17c611c110
COPPER_GOLEM|WEATHERED|GRUMM: e6676b5f5e2d5c013ffac96ac7d769991e309cf27a311e39401ba26554d92bfc
COW|GRUMM: 9d13d9aeb69de5eab0fc9203ff85eef3d8bcae8ded1545b208340ccf55a27489
COW|PRE_JAPPA|GRUMM: e93ade00c612eccdf7112b2bbcf001577f550a030dda5f8ee19f8b3dc7cd5279
COW|COLD|GRUMM: 56ed44336e324a2f4b00cc63d9a8b2c229ca773b15f5b283d6d30e47bd266ebe
COW|TEMPERATE|GRUMM: 282e78803ce44c6e24f4ae6c9499ac5febdbbdef97bc209795a276cde0c6d3bd
COW|WARM|GRUMM: 4eab73aa7b14caf9e3fb32fd3af1f5c9346ad8d58b0096abcb5aab394ab39c49
CREAKING|GRUMM: ce928ddd1afc2d69732f451df2fda510d1e5c26a2b9de495bf4cc63f09b388e4
CREEPER|GRUMM: 42ead8285e4ca51a2e63d49905bc4baebc401339dcd9077b52c4f934e4b594bc
CREEPER|CHARGED|GRUMM: 6fc71451730aab974d193dac58527e5d909db9ce4a3f89f779b23a5cafb7ae2b
DOLPHIN|GRUMM: 7c0e6eee4c25d4439a3ecea2eabe8b889e3bd3cdcf1762e093c23bbac9751d5f
DONKEY|GRUMM: f4c008678e7e35636f6e225433a93afe06bb687e3b3c84f5c510a05326140d0a
DROWNED|GRUMM: a865883b3a1c4bd98023b0bc5da8f26242285dba6a42b61f8e4a3206f9ab7eaf
ELDER_GUARDIAN|GRUMM: 99a34aa50491e5f84dfc628863c7556b83a40283d11751b864ebda78d8660cb3
ENDERMAN|GRUMM: e022c6fb52c5b340ccf0389bc7c6c81a38668cae0c48a5ded4579519c00c75be
ENDERMITE|GRUMM: 64b3850031be7e6d1269dfca80cce1ca10c0b434707f79fc49b3878fba9cbdae
ENDER_DRAGON|GRUMM: 94159fa56e041b925bf4ea606535d69100bbb76e638efc468d3d0c7e9480ef8f
EVOKER|GRUMM: 9dfeefbc1da609675f873d8b8744be91ec35ed15a57e6c05e90a0aea344f97c3
FOX|GRUMM: FOX|RED|GRUMM
FOX|RED|GRUMM: c6c30710657dafee2cfa410fb95c2b0955fd096700117f70ee675986124792a9
FOX|RED|SLEEPING|GRUMM: aef6e85bc6378f5a992fd4b793e78de73407677b4fb63894d1d7f4763666fa3e
FOX|SNOW|GRUMM: 9b109a2de3643abb66c27d644e125b11ec583e9e127247de7e329d869c5a260f
FOX|SNOW|SLEEPING|GRUMM: b5edbe5f9c7890aebae4621b2b08d9a8934f9315298fd131fe273ef005f50359
FROG|GRUMM: FROG|COLD|GRUMM
FROG|COLD|GRUMM: 3aaaa404006e3100632af4aa7ad597120eb2fa242446ba3aa19ca77de3dc8903
FROG|TEMPERATE|GRUMM: 6391dee458e0ddf7f847f1e13724fbe415d6fcc1f45d8100f334a47ba3cf49c8
FROG|WARM|GRUMM: 842feb5bcaca2fe8cfd1ab2a149eb18e9f54d3cb873872ffce6a4b837a37ef77
GHAST|GRUMM: ee15fb019ab54ab7ae57585a3da278934f7a91907748da311bca4bd1b1a02312
GHAST|SCREAMING|GRUMM: ac06da51cf3ad1bf9c7ee408bf646784b74355bbe0a5e7893d6591535acad207
GIANT|GRUMM: da4c9087bb30c8d411333f645b0ce2e95bf614d775dd77545316333caf1824f8
GLOW_SQUID|GRUMM: cd5a89061c7bd39f0957142c9452905dc732230b39f438a88fc702d389a311bc
GOAT|GRUMM: 2c6439c124bdbc8164de39ca8708bbcb46e7e7bbff82dc273445f2a2a2beebd
GOAT|SCREAMING|GRUMM: e7edc2be842a1fefc9cc22123e83e4620ad89d3d006f9cc1fef544cb7b325843
GOAT|NO_LEFT_HORN|GRUMM: a22c9a3319915a7835ad06542352a6ecf33ed6bd54dcd1c778a58bc354d13572
GOAT|NO_LEFT_HORN|NO_RIGHT_HORN|GRUMM: 506a3686f7968f91b518d46de9fd0d82636d451c54952ccc181e5b0ebc8b2df6
GOAT|NO_LEFT_HORN|NO_RIGHT_HORN|SCREAMING|GRUMM: 6aa351f3dd63a248b72235f3ca8742dc00bfbce45bc097262b41414f1fda0158
GOAT|NO_LEFT_HORN|SCREAMING|GRUMM: 7af8743b54a4182abf14ba09e5715fc87ea12f521086681c548d853399ddb424
GOAT|NO_RIGHT_HORN|GRUMM: d1b1e808c58bed9268b053fa7c7530a9f78e89b915217d89b7e241e52a37df27
GOAT|NO_RIGHT_HORN|SCREAMING|GRUMM: 336139f1a53bc56048d77a57d2777894038481a57444734d41c0d559974813f2
GUARDIAN|GRUMM: 47b5dddaf6673a8009a2300ded8a079ca95977a5dc3dfc933d6f4ad61d9093bd
HAPPY_GHAST|GRUMM: 5ce3317025d43d6517134eb7c281e6582aa7211c455fb80d2fdfa51b4367fbaa
HOGLIN|GRUMM: 6c4ddcce824cf4c2d5e60d243f531655989bbc862628fa525cf90ad4deb010eb
HORSE|GRUMM: HORSE|BROWN|GRUMM
HORSE|BLACK|GRUMM: 364b98f633baf6550657c806da187920526862bde7c2288adf8de46762b2a4f4
HORSE|BROWN|GRUMM: 6bd6a2fa87f589cae5afc6998b8d75bcf11a90924d98317352413c249bd528b7
HORSE|CHESTNUT|GRUMM: d4ad93b3cecc867225b743d429156c9624765e6edc6126a0f5709da3c6c2f5c5
HORSE|CREAMY|GRUMM: 439a1a31714e949a6826d7db68178beb0dfbc54c36bef0f8269ba9077dbaea2e
HORSE|DARK_BROWN|GRUMM: a6e2b00d7a253c3258f7eed61380ac424ce652909fa7fd90e707bc0a74225ce9
HORSE|GRAY|GRUMM: 9115bdc16b97835f264c75d4aea11e49442cc2eff4e8cbf24d322f4e282a1b5a
HORSE|WHITE|GRUMM: 2e8ee811dd46ac8164d7366d760cafc1baee37660a8d251ddbbd87540017db45
HUSK|GRUMM: ae851eab10eef5aeec3310d8bfd6bf29844b3728dbe84d03c270118b2834a2fd
HUSK|PRE_JAPPA|GRUMM: c96992563481b14105ee38e174147f582090b0b20ac9f4a614105eba334c250f
ILLUSIONER|GRUMM: ab7075ec1c903b46606b9d6aeed785eda7a56df821df5679016e6bd1a777bdee
ILLUSIONER|PRE_JAPPA|GRUMM: 7add975f9f20ecd29c7a4c5c21d46abdcc1aef20cabb9960f73526301ce7e48e
IRON_GOLEM|GRUMM: IRON_GOLEM|FULL_HEALTH|GRUMM
IRON_GOLEM|PRE_JAPPA|GRUMM: 4749d633ed0d0709761fbeb485511f16979935de8d01a0bd8c3cae31d5384ad5
IRON_GOLEM|FULL_HEALTH|GRUMM: 89b5fe08cca8be5700d22d4e555d5aea8acccea47021848effaf6534d054b912
IRON_GOLEM|HIGH_CRACKINESS|GRUMM: 10638b529048c97220af960d532c63a7e8b727a7ff47e14b142a2c291aa93020
IRON_GOLEM|LOW_CRACKINESS|GRUMM: 2c449df0c92b4eda76c69453901203cfaafb22eb2e4afbdaa75fabfdffe692d4
IRON_GOLEM|MEDIUM_CRACKINESS|GRUMM: 7e6a1ab285e3e83378ae2bce305e018873913789ef9fdedfbc6f4774857b575f
LLAMA|GRUMM: LLAMA|BROWN|GRUMM
LLAMA|BROWN|GRUMM: d0ab5993fad3e7110c338c46f1876bcd74ab26a6691ea11302003544df5a511e
LLAMA|CREAMY|GRUMM: 9848a3d3cd9757ee5876c0bb02e4b96d3a53453f63dadbde832b2b3e35d69f94
LLAMA|GRAY|GRUMM: 170c10b0a3958d8c8df48728732fe0e5430bf2ab948683c2590c8ea4e41424d2
LLAMA|WHITE|GRUMM: 75de7a7dd52dd01c9f80ea87181ed213e958b7d286c87f90dd91d53005cd33fa
MAGMA_CUBE|GRUMM: 1539e8facbfb4df00b8979886d1aaa85545ea095a35516c5009871ca47c9e534
MAGMA_CUBE|LAVA_INSIDE|GRUMM: 6f7544714252d5070ad40033bebdba358e8837a26989d8970643aeb7a886b6e
MAGMA_CUBE|PRE_JAPPA|GRUMM: d2df116201509030bfe49a0d451585bf8ef6bbc763868c8b64f6c6e18c0a813
MINECART|GRUMM: da014b14c06bc0096012f58d249d814450bf2b8185bb03e036222505d678ec88
MINECART_CHEST|GRUMM: CHEST_MINECART|GRUMM
CHEST_MINECART|GRUMM: 2b21ced77f918ad0aeb9d149f0a14fbe80c32730f26379f1494cf8adeecbad5f
MINECART_COMMAND|GRUMM: COMMAND_BLOCK_MINECART|GRUMM
COMMAND_BLOCK_MINECART|GRUMM: fd9df5abccf6c69da75a4c28c028f1b7266f9d1e8e7d6244ec2d0ef828da08fa
MINECART_FURNACE|GRUMM: FURNACE_MINECART|GRUMM
FURNACE_MINECART|GRUMM: c9d4ddd1eb4a04956e65dccf5d9a93ea4e2fb97dd09b8b2ad33c00db36c32032
MINECART_HOPPER|GRUMM: HOPPER_MINECART|GRUMM
HOPPER_MINECART|GRUMM: 898867781ef0156db36e43c89d9c5fdfce4a542595d3b87447028818fd77f6f4
MINECART_MOB_SPAWNER|GRUMM: SPAWNER_MINECART|GRUMM
SPAWNER_MINECART|GRUMM: d46ea0e6e63ab03e477e37bd65eef42403103ce4e5caaf1449bc4bb5041ca110
MINECART_TNT|GRUMM: TNT_MINECART|GRUMM
TNT_MINECART|GRUMM: 30a572eb4002f75b5a01a60d2fcf50a1eabe6832ebfdb42ee639786bf8fdc713
MULE|GRUMM: bd53a34709a48d4bd8d36a3dffe9c8d488e2336b9b8028d15311d52e92fbb351
MOOSHROOM|GRUMM: MOOSHROOM|RED|GRUMM
MUSHROOM_COW|GRUMM: MOOSHROOM|RED|GRUMM
MUSHROOM_COW|RED|GRUMM: MOOSHROOM|RED|GRUMM
MOOSHROOM|RED|GRUMM: 85abac27faad79e1807b9888627b44166453a2d54c0aa5268d22b41b4545201b
MUSHROOM_COW|BROWN|GRUMM: MOOSHROOM|BROWN|GRUMM
MOOSHROOM|BROWN|GRUMM: 2e8b4cc85bf0d645058eeccdb1ee8fa5d1e5c287d6047cc9111a63db73d76954
OCELOT|GRUMM: OCELOT|WILD_OCELOT|GRUMM
OCELOT|BLACK_CAT|GRUMM: d056f8badf50e50f1c1946b0f912f9303a46331e6f2edeba059ad7c568aed9e5
OCELOT|RED_CAT|GRUMM: dbb453c0c2b2b3e156f82b6baaf201ca7002c74806370134bf4a6d60d2fc6806
OCELOT|SIAMESE_CAT|GRUMM: 7db9e7cfa84e9540bd6b54f0c31fcfbb6d00a0d1fb4f6e5aa8a4be627cd10764
OCELOT|WILD_OCELOT|GRUMM: 24d8781bc1bc55b2c11e33a2e6f4d0c8abc4ebae8822c5ac63cdf4d463c13d23
PANDA|GRUMM: PANDA|NORMAL|GRUMM
PANDA|AGGRESSIVE|GRUMM: 8d628a26e89064dedb78482c2b361aadcfd0ae496b33447d535eabbeb7b3bde8
PANDA|BROWN|GRUMM: 5737ca1b9766471fa23f9b28c961ca98ce05db4e7c55252a12d8eac84ae9e4fe
PANDA|LAZY|GRUMM: a74c71b62e41c87f157a124884c19f94e038383f1e0c6c206321e0185ae1a88
PANDA|NORMAL|GRUMM: ae88921ee57491672fd51f539d031526d39333531f110de4dec33d076b885fee
PANDA|PLAYFUL|GRUMM: e5ec0d90ff52e12d6167eb83d0666ed0a6d12690598cf2f41df4993c41b256b1
PANDA|WEAK|GRUMM: cd03fff67f2c7546702344816053c9c79a0ca026e7fc6b4d8480a540a486337c
PANDA|WORRIED|GRUMM: 932cc67ba333470fa8a25ba3ded77be399352dd8c0e39f9c8943061a050a57f6
PARROT|GRUMM: PARROT|CYAN|GRUMM
PARROT|BLUE|GRUMM: edeb7a2eda9823b926a78388cf02f95418ecb856ee262bdfce4bf18d612eb91d
PARROT|CYAN|GRUMM: dbeb0320ffa3d8010ff3a396905fb09a8bacd7a687d12a48bade4dbf25553b9d
PARROT|GRAY|GRUMM: e0ceac56238fc3d8de526752e3844d6a2dd44f693ddad31c9963cbaf1c5d2ece
PARROT|GREEN|GRUMM: ef852ce2af3f52f464947ad666a527c3987ca439d11164adfd7b91c644d65ab3
PARROT|RED|GRUMM: ae4b481c00fb6c77c2ec8b62149156b243324eaad0fcfddb09a94b72ac457650
PHANTOM|GRUMM: be89b0dc6b8e12e59ac3f36c578f094c39bd442ccef17b8b376d06676f6d75e5
PIG_ZOMBIE|GRUMM: aee67aba4b8cf52e6701cdcdffe0fb47603163ae59ba58d54d3e87f91e61eb75
PIG_ZOMBIE|PRE_JAPPA|GRUMM: e72e970f1cce4c08ca839f2f9822adf7beca253b09d682cf0d39cba0355d0926
PIG_ZOMBIE|BABY|GRUMM: c8a048927af6134939f7ef4c69b9335df49e5b27584b366c3f73cb1bf6326c80
PIG|GRUMM: c70a02fe5f8a6cd76cdf571288afdf09f183fdc388e80e88c852f7468be6c940
PIG|PRE_JAPPA|GRUMM: ec8b11b182c8ba4dbd472853fbf1425cd7b35e2eb6770f2805b6c523d1eb99fe
PIG|COLD|GRUMM: babef6d22fe30f1eda1f711caa65e50700d6ea661ed293f1290cf1f416632a85
PIG|TEMPERATE|GRUMM: 8f9137de951272d30d2881910892efe2f171bb80a98f33c8e8546eec9b78523a
PIG|WARM|GRUMM: 3987540bad86fefd84933a66aa2178a3bb6476ba7dcf85db93987d86214225df
PIGLIN|GRUMM: 8dba64efea85b1ed8411dfd2c036ebd1cbbd2c8fa8139953475ea190f441ff95
PIGLIN_BRUTE|GRUMM: 494faa764c45db1c3a1324db68b8fececf4aba06ce9c2c11aa3b4f86daa522fb
PILLAGER|GRUMM: c829ffe9ae1debf4e1ab91827a00492f38b9d4377c32287283b0d2e4df4032c4
POLAR_BEAR|GRUMM: c8e2c1d84363fa9cea3fa47391309e094e6de58fff8bd4627cb1f76b15f4845a
POLAR_BEAR|PRE_JAPPA|GRUMM: 4bec02d59f69c6e19f9bad2206b6effc1450d926dba9e772a31c99367eba8c28
PUFFERFISH|GRUMM: af6d6156e3300497cd611b7dea22d2a776ba367f733b57af82665f805dd4c7a
RABBIT|GRUMM: RABBIT|SALT_AND_PEPPER|GRUMM
RABBIT|BLACK_AND_WHITE|GRUMM: 8c096fa9aac0eb9f24e157eb06cba173ebf4dc7f62fb3b605474b7f8f4e165af
RABBIT|BLACK|GRUMM: c43ff044a638e2fa335fd3a7d1c8f47ec6507020e26d9b9502b2fee7f809bbfc
RABBIT|BROWN|GRUMM: f907123adfb2de7c12ad8e26cf705e3e882a6a827c7218892ed6c04cc01123c2
RABBIT|GOLD|GRUMM: 4e14a6f37f31b1cfe6c0d1b03bbbb476e5671498da86c06ac4fbe1e599307e45
RABBIT|SALT_AND_PEPPER|GRUMM: 863af2a6ca144c7896229bf5a5fa2e3c0ca7a67119007fd96f3d4ddba750443c
RABBIT|THE_KILLER_BUNNY|GRUMM: 768264b8aca3f792f964a007b7e1c040823efaa0d0204a7b3565e795346b55d3
RABBIT|TOAST|GRUMM: abf01c2d03524848169292b1ed9aa85518f7179b8a08aa55e40b8fae4c4903e7
RABBIT|WHITE|GRUMM: fa895266cbaea53fc892e198c2e3b6d15ec4039a650fec24d13456c48b5b3345
RAVAGER|GRUMM: 4f33c27f4cd1b08270d5298f7b7fce5247f578039a9cae19aecf037ca7b027f3
SALMON|GRUMM: 21a3306bc0c00aacebc16baa12edab5127fba55b1bcacc6c8d8f1e2d93e62eb3
SHEEP|GRUMM: SHEEP|WHITE|GRUMM
SHEEP|BLACK|GRUMM: bd0bd5f10a33f436b45c8137450bebf3ee7dfa454c6c0ba190ef56336e32d6e3
SHEEP|BLUE|GRUMM: a421b7b89d5174bbd5c70e821faaf3c953945830ab2f84954e84f07005635b79
SHEEP|BROWN|GRUMM: fdbe0d67a0b6d45fc846fa017e069a06a39eb4dc9a4c3a0977ff54e003eed9f0
SHEEP|CYAN|GRUMM: 3f08e0ba11140aa4e7fc6cf217866b4f103a920f641e3798584cbe0792a8b3ce
SHEEP|GRAY|GRUMM: cd7845c37f1bcc1d9460776d262ecb70bffce6563d9bc9775db1b0296e9dbaa1
SHEEP|GREEN|GRUMM: 1360cf8f452000c8b677e64a6eaddeb7785f5b825f8b5af898f3a51b9b3afb82
SHEEP|JEB|GRUMM: 9aae6e57a79fcece6b8bf23c5c51942454a19befb95c617557d9738ac9c7fa2f
SHEEP|LIGHT_BLUE|GRUMM: e8f0b285a9ef731efedf141ceab414ae164e305884b437adb4e14733226c3ad3
SHEEP|LIME|GRUMM: 433baeed0195fbda1dd50849a1a58bce061d6f2a72e03eb02c8ed22caf3f8504
SHEEP|MAGENTA|GRUMM: 46c4e3be2052f2bf171c2b8b4bf0853741f37f5baeb380330d11ad65966fa71d
SHEEP|ORANGE|GRUMM: 9c6971f1cd4579d82b1e929946a4815e7d48fd60725e21f87f49f7966267cb6b
SHEEP|PINK|GRUMM: fa4e599a8325de91c1c00138977a20180d2fcb3bddd87c7f027af39f90f3b5d8
SHEEP|PURPLE|GRUMM: fcf7d4869a5d1d91a7dddcbe059bf3fb6ff35f3928200d880de7c8d9c9d008e6
SHEEP|RED|GRUMM: 83b6eabe5a45b234fa7066dac49c8eaa19ab0c7c2a82cda5f40370bb948a64ad
SHEEP|LIGHT_GRAY|GRUMM: 4dcdc88c78054c46ee321e98abdf86ea1e59c5aaa507661d584a83d6455fb9fb
SHEEP|WHITE|GRUMM: cbf35178af0bf2363b8c4baa4e939d7a308145c9a0ba4805c6458c0fc8204d6e
SHEEP|YELLOW|GRUMM: 30168d043fd4a22c8e71bf60cc21ef8b9471e7aebf6e5f1928a4e1b6d672f272
# Note: Grumm shulker textures are at the end
SILVERFISH|GRUMM: 3509119d8e3581749d96a931f65d25ad4e33d8c04aeb634afc1b76c7a0c50999
SKELETON|GRUMM: b3a3b8777c6c1a732a125800afe36d2b4fc6c770b76d83c1283e6a29615a5
SKELETON|PRE_JAPPA|GRUMM: f8b591c10dacc5b3ec76da1942c4baf688eb488eb1b21c5b1bda630fd046ef56
SKELETON|HOLLOW|GRUMM: eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHBzOi8vZWR1Y2F0aW9uLm1pbmVjcmFmdC5uZXQvd3AtY29udGVudC91cGxvYWRzL3NrZWxldG9uX2dydW1tXzY0MHg2NDAucG5nIn19fQ==
