#
# Grumm/Dinnerbone textures
#
ALLAY|GRUMM: 6bf08215c78f9b8317f81c9f1914da186fc2a92fc7c4124f7f1cf3c188469439
#ARMOR_STAND|GRUMM: bf9f15a465ef53f792a65ff94b7420a02e182f47e5c452b62a6ac94e4b635a6
AXOLOTL|GRUMM: AXOLOTL|LUCY|GRUMM
AXOLOTL|BLUE|GRUMM: 5b85089229c798e21eaf8606fdae8e7c06a2d65ece86ce093e45f89713663888
AXOLOTL|CYAN|GRUMM: a58f517394ddb5537bb9af9d322b384ba8defc436c6938197ef6e75e755aa286
AXOLOTL|GOLD|GRUMM: 41d8600810a11b6c531b43703c8e895c32ed7745ccac36626200c462d767c51a
AXOLOTL|LUCY|GRUMM: 77c8eba243c7841b6ccda37b2e3179bd2210c9e5427b42a3d5ccf8b1f14c9703
AXOLOTL|WILD|GRUMM: 396a43dc6e89f6170918b27b713028ce9527ed40c7aba7b556abef3d4be7462f
BAT|GRUMM: c19dc094a8334d185c51e3a7d1ab29a0b801093091042a90c9bdf82ddc642dad
BAT|PRE_JAPPA|GRUMM: a8c5856135dddc3e17eed9135f294cfe37aefa416214f7704bcba5506ebb357f
BEE|GRUMM: b571c2370088ba8cbdafcb172536a7607c729d5f68466f0fe777d3ff3816a387
BEE|ANGRY|GRUMM: fffb420df024581c3d5333fb10be0624b3c3de492d58b955ef3dd0425efc44ec
BEE|POLLINATED|GRUMM: d8e508f861848cd79a3aa4325c54706415de2464be033dcec8f531d0a1a7d314
BEE|ANGRY|STUNG|GRUMM: e285998cebc8a73d383617462061520d472c875a92a3048259d8b7c5def9687b
BEE|POLLINATED|ANGRY|GRUMM: fcbee96345ad1f01a36cfcf57608745ae669170672b60ab1623c87f3e215dc49
BEE|POLLINATED|ANGRY|STUNG|GRUMM: 1fb374a6f58986c5d867ad6ab695a46052f67474744108c165227c24f8dc5e63
BEE|POLLINATED|STUNG|GRUMM: b42f64dc3456d377a0cee1e3aa655be16d584b4fcda58dddebc12aa61c56971f
BEE|STUNG|GRUMM: 40b4726198ca0a985f73dcb5d1c824239103ac23d22b3e6b1f683a56e9831f34
